video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=9mT0azAJtFE&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@InterstateKyle,InterstateKyle,"2K21 (EP 12) Interstate 5 North in Seattle, Washington",33K,4 years,Want to support InterstateKyle and help fund his road travels? Please contribute on my monthly Patreon and unlock exclusive ...,2026-01-20 20:36:44.832282
/watch?v=9O580ioLW-E&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@KING5Seattle,KING 5 Seattle,BREAKING: 20 car pileup on I-5,8.5K,1 day,Up to 20 cars are involved in a pileup on I-5 N near Fife.,2026-01-20 20:36:44.833810
/watch?v=WxqYymMijh0&t=55s&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@californiathroughmylens,California Through My Lens,"17 Stops on an Interstate 5 Road Trip: Caves, Restaurants, Bridges & State Parks",70K,3 years,"Interstate 5, also known as the I5, runs from Mexico to Canada and crosses California, Oregon and Washington. My dad and I ...",2026-01-20 20:36:44.836092
/watch?v=enkd14aWG38&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@roadwaywiz,roadwaywiz,Interstate 5 - Washington southbound [FULL LENGTH VIDEO],7.6K,1 year,"Interstate 5 is the main north-south freeway across western Washington State, serving to connect metro Portland & northwest ...",2026-01-20 20:36:44.837441
/watch?v=I6OHcLejaqE&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@roadwaywiz,roadwaywiz,Interstate 5 - Washington northbound [FULL LENGTH VIDEO],8.3K,1 year,"Interstate 5 is the main north-south freeway across western Washington State, serving to connect metro Portland & northwest ...",2026-01-20 20:36:44.839143
/watch?v=aszZy10m02I&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@komonews,KOMO News,Prepare for major congestion on I-5 as Ship Canal Bridge undergoes long-term construction,4.5K,7 days,Seattle drivers are bracing for significant traffic disruptions as the Washington State Department of Transportation (WSDOT) ...,2026-01-20 20:36:44.840622
/watch?v=RiPLoTNU9Q4&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@KING5Seattle,KING 5 Seattle,Washington adds orange lane striping to I-5 work zone for first time,13K,2 years,Orange lane striping was added last week along an Interstate 5 construction zone in Fife in order to improve worker and driver ...,2026-01-20 20:36:44.842818
/watch?v=oHTl4ozBU9g&pp=ygUOSS01IFdhc2hpbmd0b27SBwkJTwoBhyohjO8%3D,/@roadwaywiz,roadwaywiz,Interstate 5 - Washington (Exits 7 to 14) northbound,3.3K,4 years,"Interstate 5 is the main north-south freeway across western Washington State, serving to connect metro Portland & northwest ...",2026-01-20 20:36:44.844200
/shorts/fp4bvnBjc-U,/@KING5Seattle,KING 5 Seattle,Multiple lanes blocked during morning commute after 21-car pileup on I-5 north in Fife,2.1K,1 day,Traffic on northbound I-5 was snarled on Monday after debris caused a 21-car crash near the border between King and Pierce ...,2026-01-20 20:36:44.845519
/shorts/29cUCNIJ1xw,/@KING5Seattle,KING 5 Seattle,Around 20 vehicles involved in crash on I-5 in Fife,2.9K,1 day,At least 20 cars were involved in a pile up due to debris on the road around 5 a.m. on northbound Interstate 5 Monday near the ...,2026-01-20 20:36:44.846827
/watch?v=vdhhlylAXPY&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@komonews,KOMO News,"Long-term I-5 lane reductions to impact Seattle traffic, drivers urged to plan for delays",18K,11 days,Drivers heading through Seattle will need to adjust their travel plans starting this weekend as major construction resumes on ...,2026-01-20 20:36:44.848150
/watch?v=EnLwY7bSuEE&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@KING5Seattle,KING 5 Seattle,BREAKING: I-5 northbound fully blocked after crash near US 1-1 in Olympia,3.8K,1 month,No reports of any injuries or a timetable to reopen the roadway has been given.,2026-01-20 20:36:44.849353
/watch?v=HKrb9NTHruI&t=3900s&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@AdventureEveryDay,AdventureEveryDay,Seattle to Portland Complete Scenic Drive 4K,143K,1 year,"A scenic drive from downtown Seattle, Washington, to downtown Portland, Oregon in the fall. This drive on I-5 offers a journey ...",2026-01-20 20:36:44.851451
/watch?v=bX7hGLy8mdo&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@KING5Seattle,KING 5 Seattle,How to navigate I-5 closure through downtown Seattle beginning Friday night,4.5K,5 months,WSDOT crews are working to wrap up critical renovations on the Ship Canal Bridge.,2026-01-20 20:36:44.852713
/watch?v=X1AYBKsOdy8&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@KING5Seattle,KING 5 Seattle,"WSDOT preparing for biggest ""Revive I-5"" to date",12K,1 year,"Commuters should be bracing for WSDOT's biggest road work project ever, lasting from March 2025 to spring of 2027.",2026-01-20 20:36:44.853952
/watch?v=H244aI9lr6M&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@KING5Seattle,KING 5 Seattle,WSDOT reopens NB I-5 lanes early after weekend repairs,1K,5 months,The lanes reopened on Sunday night. WSDOT originally planned to reopen the lanes on Monday morning.,2026-01-20 20:36:44.856392
/watch?v=ZI-pF-FNEKY&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@KING5Seattle,KING 5 Seattle,Northbound I-5 to close overnight Friday in Seattle,8.8K,2 years,Travelers using northbound Interstate 5 through downtown Seattle should plan for delays this weekend.,2026-01-20 20:36:44.857913
/watch?v=1yiTBfq2Jhw&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@KING5Seattle,KING 5 Seattle,Washington State Patrol explains the car fire on I-5 S near Fife,4.5K,4 years,A disabled vehicle caught fire on the side of I-5 S near Fife which also spread to the surrounding brush before being extinguished.,2026-01-20 20:36:44.859815
/watch?v=Da92mEX1UsU&pp=ygUOSS01IFdhc2hpbmd0b27SBwkJTwoBhyohjO8%3D,/@fox13seattle,FOX 13 Seattle,Revive I-5 construction on Seattle's Ship Canal Bridge begins,2.7K,11 days,"WSDOT is warning Seattle drivers to plan ahead for traffic as Revive I-5: Ship Canal Bridge Preservation work begins Jan. 9, 2026 ...",2026-01-20 20:36:44.861269
/watch?v=z7Xsjq9yq2c&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@ControlCityFreak,Control City Freak,Interstate 5: Westside Express,16K,1 year,"Interstate 5 is the backbone of the West Coast, and runs the gamut between urban, rural, suburban, breathtakingly beautiful, and ...",2026-01-20 20:36:44.862608
/shorts/0fJOQmEXjL4,/@accuweather,AccuWeather,I-5 Flooded in Seattle | AccuWeather,170K,2 years,"Heavy rain pummelled parts of Seattle, Washington, on November 4, causing flooding along Interstate 5. #i5 #flooding #seattle ...",2026-01-20 20:36:54.350784
/shorts/nZrFFhHGH-w,/@GeoGlobeTales,GeoGlobeTales,How Highways are Numbered 🚗 U.S Interstate Highways 🇺🇸,14M,1 year,How U.S. interstate highways are numbered? Dive into the fascinating system behind the numbering of U.S. interstate ...,2026-01-20 20:36:54.354566
/shorts/06U6DgUwcYU,/@KING5Seattle,KING 5 Seattle,How the latest Revive I-5 closures will impact your commute,461,8 days,"Starting Monday morning, two northbound lanes of traffic are closed over the Ship Canal Bridge until the FIFA World Cup in June.",2026-01-20 20:36:54.355847
/watch?v=dChQxb6DYcU&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@KING5Seattle,KING 5 Seattle,SB I-5 lanes closed this weekend for Revive I-5 work in Seattle,1.4K,4 years,Southbound I-5 will be down to two lanes on Saturday and one lane on Sunday for construction work.,2026-01-20 20:36:54.359140
/watch?v=dHOZwlkzhzg&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@KING5Seattle,KING 5 Seattle,Northbound I-5 to close through downtown Seattle during busy summer weekend,5.6K,6 months,WSDOT's traffic management center is under pressure as northbound I-5 heads into a complete closure through downtown ...,2026-01-20 20:36:54.362391
/watch?v=KVGeVB2NF5M&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@komonews,KOMO News,"Driver without lights on clocks 156 mph on I-5, disappears into fog on New Year's Eve",69K,13 days,A Washington State Patrol (WSP) trooper clocked a driver screaming down Interstate 5 at a speed that's hard to believe. Shortly ...,2026-01-20 20:36:54.363788
/watch?v=MC4pdS45sPU&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@KING5Seattle,KING 5 Seattle,"WSDOT plans major I-405, I-5 lane closures this weekend",1.2K,2 months,"Weather could cancel the I-405 construction, but rain will not affect the I-5 lane reductions over the weekend, WSDOT said.",2026-01-20 20:36:54.364945
/watch?v=gO32MHXuP9c&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@KING5Seattle,KING 5 Seattle,"I-5, Montlake Bridge work in Seattle could disrupt traffic this weekend",2.2K,4 years,Drivers planning to attend the Seattle Sounders FC or Mariners games this weekend should plan ahead and allow for extra time ...,2026-01-20 20:36:54.366053
/watch?v=rDamWM5ej5w&pp=ygUOSS01IFdhc2hpbmd0b24%3D,/@KING5Seattle,KING 5 Seattle,I-5 express lanes reopen after deadly rollover crash involving semi-truck,2K,2 years,"The Interstate 5 Express Way lanes have reopened after a deadly semi rollover crash that occurred on Friday morning, according ...",2026-01-20 20:36:54.369287
